,obs_wavelength,obs_ep,obs_ew,element
0,4139.9,0.99,36.4,FeI
1,4484.2,3.6,18.3,FeI
2,4547.9,3.55,14.0,FeI
3,4619.3,3.6,9.1,FeI
4,4630.1,2.28,15.0,FeI
5,4678.9,3.6,19.5,FeI
6,4741.5,2.83,10.7,FeI
7,4788.8,3.24,5.7,FeI
8,4882.1,3.42,7.2,FeI
9,4938.8,2.88,42.9,FeI
10,4946.4,3.37,17.5,FeI
11,4950.1,3.42,6.7,FeI
12,4973.1,3.96,9.0,FeI
13,5014.9,3.94,22.7,FeI
14,5022.2,3.98,14.0,FeI
15,5068.8,2.94,40.7,FeI
16,5191.4,3.04,60.9,FeI
17,5198.7,2.22,38.7,FeI
18,5215.2,3.27,28.1,FeI
19,5225.5,0.11,47.8,FeI
20,5247.1,0.09,39.1,FeI
21,5255.0,0.11,52.8,FeI
22,5263.3,3.27,29.4,FeI
23,5281.8,3.04,46.3,FeI
24,5302.3,3.28,36.5,FeI
25,5307.4,1.61,35.9,FeI
26,5339.9,3.27,41.9,FeI
27,5370.0,4.37,29.7,FeI
28,5383.4,4.31,37.3,FeI
29,5410.9,4.47,20.5,FeI
30,5415.2,4.39,33.7,FeI
31,5569.6,3.42,38.2,FeI
32,5586.8,3.37,63.1,FeI
33,5624.5,3.42,27.3,FeI
34,5763.0,4.21,10.3,FeI
35,5956.7,0.86,12.7,FeI
36,6213.4,2.22,22.0,FeI
37,6219.3,2.2,27.6,FeI
38,6230.7,2.56,68.9,FeI
39,6254.3,2.28,26.2,FeI
40,6265.1,2.18,26.0,FeI
41,6297.8,2.22,14.9,FeI
42,6335.3,2.2,40.2,FeI
43,6336.8,3.69,13.2,FeI
44,6358.7,0.86,19.4,FeI
45,6393.6,2.43,62.4,FeI
46,6411.6,3.65,24.6,FeI
47,6421.4,2.28,47.6,FeI
48,6430.8,2.18,57.8,FeI
49,6546.2,2.76,33.4,FeI
50,6592.9,2.73,38.4,FeI
51,6678.0,2.69,51.0,FeI
52,6750.1,2.42,13.4,FeI
53,4416.8,2.78,42.4,FeII
54,4491.4,2.86,34.3,FeII
55,4508.3,2.86,53.0,FeII
56,4515.3,2.85,46.9,FeII
57,4520.2,2.81,44.7,FeII
58,4541.5,2.86,25.0,FeII
59,4576.3,2.85,23.8,FeII
60,4620.5,2.83,13.1,FeII
61,4666.8,2.83,12.8,FeII
62,5197.6,3.23,39.2,FeII
63,5234.6,3.22,43.0,FeII
64,5362.9,3.2,28.3,FeII
65,5534.8,3.25,17.3,FeII
66,6456.4,3.91,14.5,FeII
