,obs_wavelength,element,obs_ew,obs_ep
0,4494.563,FeI,27.6,2.2
1,4531.148,FeI,12.6,1.48
2,4592.651,FeI,5.4,1.56
3,4602.941,FeI,10.9,1.49
4,4736.773,FeI,8.6,3.21
5,4871.318,FeI,22.9,2.87
6,4872.137,FeI,19.1,2.88
7,4918.994,FeI,27.3,2.86
8,4938.814,FeI,5.6,2.88
9,4994.13,FeI,6.4,0.92
10,5006.119,FeI,16.6,2.83
11,5049.819,FeI,11.8,2.28
12,5051.635,FeI,16.3,0.92
13,5171.596,FeI,25.8,1.49
14,5192.344,FeI,19.0,3.0
15,5194.942,FeI,12.8,1.56
16,5202.336,FeI,6.6,2.18
17,5215.182,FeI,5.1,3.27
18,5216.274,FeI,11.4,1.61
19,5232.94,FeI,35.0,2.94
20,5339.93,FeI,5.7,3.27
21,5341.024,FeI,17.1,1.61
22,5397.128,FeI,31.3,0.92
23,5405.775,FeI,48.4,0.99
24,5429.696,FeI,44.7,0.96
25,5434.524,FeI,31.5,1.01
26,5497.516,FeI,5.8,1.01
27,5506.779,FeI,11.3,0.99
28,5569.618,FeI,8.5,3.42
29,5586.756,FeI,18.4,3.37
30,4508.289,FeII,14.6,2.86
31,4515.339,FeII,10.3,2.84
32,4522.634,FeII,21.4,2.84
33,4583.837,FeII,36.9,2.81
34,5234.63,FeII,9.9,3.22
35,5276.002,FeII,16.8,3.2
