,obs_wavelength,element,obs_ep,loggf,obs_ew
0,4787.827,FeI,2.998,-2.557,95.51
1,4788.7570000000005,FeI,3.237,-1.7630000000000001,115.31
2,4802.88,FeI,3.642,-1.514,94.31
3,4808.148,FeI,3.252,-2.69,68.21
4,4875.877,FeI,3.332,-1.92,106.51
5,4892.859,FeI,4.218,-1.29,83.91
6,4917.23,FeI,4.191,-1.08,94.61
7,4961.913,FeI,3.634,-2.19,67.01
8,4962.572,FeI,4.178,-1.182,80.01
9,4969.917,FeI,4.218,-0.71,105.41
10,4986.223,FeI,4.218,-1.29,75.01
11,4999.112,FeI,4.186,-1.64,55.91
12,5029.6179999999995,FeI,3.415,-1.95,99.91
13,5031.914000000001,FeI,4.371,-1.57,49.11
14,5036.9220000000005,FeI,3.017,-3.01,71.31
15,5048.436,FeI,3.96,-1.0290000000000001,100.31
16,5088.153,FeI,4.154,-1.68,61.81
17,5143.723,FeI,2.198,-3.69,90.91
18,5159.058,FeI,4.283,-0.82,92.11
19,5236.202,FeI,4.186,-1.4969999999999999,59.61
20,5243.776,FeI,4.256,-1.05,90.01
21,5267.269,FeI,4.371,-1.5959999999999999,53.51
22,5285.1269999999995,FeI,4.435,-1.54,42.11
23,5288.525,FeI,3.695,-1.508,96.11
24,5293.959,FeI,4.143,-1.77,53.21
25,5295.312,FeI,4.415,-1.59,44.01
26,5373.709,FeI,4.473,-0.76,85.81
27,5379.5740000000005,FeI,3.695,-1.514,94.81
28,5386.3330000000005,FeI,4.154,-1.67,53.31
29,5389.479,FeI,4.415,-0.41,105.61
30,5398.279,FeI,4.446000000000001,-0.63,93.01
31,5436.295,FeI,4.387,-1.44,61.31
32,5441.339,FeI,4.313,-1.63,51.31
33,5466.396,FeI,4.371,-0.63,104.31
34,5466.986999999999,FeI,3.573,-2.233,70.01
35,5470.093000000001,FeI,4.446000000000001,-1.71,43.31
36,5473.9,FeI,4.154,-0.79,105.71
37,5487.145,FeI,4.415,-1.43,64.91
38,5522.446,FeI,4.209,-1.45,66.01
39,5525.544,FeI,4.231,-1.084,80.11
40,5543.936,FeI,4.218,-1.04,88.21
41,5546.505999999999,FeI,4.371,-1.21,77.51
42,5560.2119999999995,FeI,4.435,-1.09,70.21
43,5618.632,FeI,4.209,-1.275,74.41
44,5633.946,FeI,4.9910000000000005,-0.23,79.41
45,5638.262,FeI,4.22,-0.77,103.71
46,5652.318,FeI,4.26,-1.85,46.41
47,5655.1759999999995,FeI,5.064,-0.6,60.71
48,5661.345,FeI,4.284,-1.756,44.61
49,5662.516,FeI,4.178,-0.573,118.71
50,5679.023,FeI,4.652,-0.82,73.81
51,5691.496999999999,FeI,4.301,-1.42,66.31
52,5705.464,FeI,4.301,-1.355,61.11
53,5717.8330000000005,FeI,4.284,-1.03,86.71
54,5731.762,FeI,4.256,-1.2,84.31
55,5741.848000000001,FeI,4.256,-1.672,53.81
56,5760.344,FeI,3.642,-2.39,51.81
57,5909.972,FeI,3.2110000000000003,-2.5869999999999997,83.01
58,5916.246999999999,FeI,2.4530000000000003,-2.9939999999999998,118.41
59,5927.789000000001,FeI,4.652,-0.99,56.51
60,5929.6759999999995,FeI,4.5489999999999995,-1.31,58.81
61,5930.18,FeI,4.652,-0.23,102.91
62,5934.654,FeI,3.929,-1.07,108.31
63,5952.718000000001,FeI,3.984,-1.34,90.21
64,6003.0109999999995,FeI,3.8819999999999997,-1.12,112.61
65,6027.0509999999995,FeI,4.0760000000000005,-1.089,94.81
66,6056.005,FeI,4.7330000000000005,-0.46,83.61
67,6079.008000000001,FeI,4.652,-1.02,60.51
68,6082.71,FeI,2.2230000000000003,-3.576,105.11
69,6093.643,FeI,4.6080000000000005,-1.4,44.21
70,6096.664000000001,FeI,3.984,-1.83,64.61
71,6127.906,FeI,4.143,-1.399,74.81
72,6151.616999999999,FeI,2.176,-3.295,117.41
73,6157.728,FeI,4.0760000000000005,-1.16,97.81
74,6165.36,FeI,4.143,-1.473,70.11
75,6180.203,FeI,2.728,-2.591,113.41
76,6187.9890000000005,FeI,3.943,-1.62,76.31
77,6226.734,FeI,3.884,-2.12,52.21
78,6271.278,FeI,3.332,-2.7030000000000003,58.61
79,6311.499,FeI,2.832,-3.141,79.11
80,6315.811,FeI,4.0760000000000005,-1.61,68.01
81,6338.876,FeI,4.796,-0.96,53.31
82,6380.743,FeI,4.186,-1.375,76.81
83,6495.741,FeI,4.835,-0.84,52.51
84,6496.465999999999,FeI,4.796,-0.53,85.71
85,6569.214,FeI,4.7330000000000005,-0.38,93.81
86,6597.559,FeI,4.796,-0.97,51.71
87,6627.544,FeI,4.5489999999999995,-1.58,41.21
88,6633.749,FeI,4.559,-0.799,80.21
89,6703.566,FeI,2.759,-3.06,89.41
90,6733.15,FeI,4.638,-1.48,37.71
91,6786.858,FeI,4.191,-1.97,43.21
92,4993.35,FeII,2.807,-3.6839999999999997,51.31
93,5264.802,FeII,3.23,-3.13,47.81
94,5414.07,FeII,3.221,-3.58,24.81
95,5534.838000000001,FeII,3.245,-2.865,69.31
96,5991.371,FeII,3.153,-3.647,35.51
97,6149.246,FeII,3.889,-2.841,29.41
98,6238.3859999999995,FeII,3.889,-2.6,32.71
99,6247.557,FeII,3.892,-2.435,37.61
100,6456.38,FeII,3.903,-2.185,47.51
101,6516.076999999999,FeII,2.891,-3.31,52.11
