,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,41.6,7.45
1,FeI,4788.76,3.24,67.8,7.62
2,FeI,4802.88,3.64,60.4,7.53
3,FeI,4808.15,3.25,28.5,7.56
4,FeI,4875.88,3.33,56.5,7.43
5,FeI,4877.6,3.0,20.1,7.43
6,FeI,4907.73,3.43,60.6,7.51
7,FeI,4924.77,2.28,92.0,7.52
8,FeI,4950.11,3.42,74.8,7.59
9,FeI,4962.57,4.18,53.0,7.52
10,FeI,4985.55,2.87,102.3,7.2
11,FeI,5012.69,4.28,36.1,7.66
12,FeI,5058.5,3.64,10.5,7.48
13,FeI,5088.15,4.15,34.1,7.49
14,FeI,5107.64,1.56,106.0,7.29
15,FeI,5141.74,2.42,83.4,7.38
16,FeI,5197.94,4.3,32.0,7.42
17,FeI,5223.18,3.63,28.6,6.99
18,FeI,5225.53,0.11,75.8,7.64
19,FeI,5243.78,4.26,59.8,7.46
20,FeI,5253.02,2.28,15.8,7.37
21,FeI,5285.13,4.43,27.4,7.45
22,FeI,5293.96,4.14,29.1,7.49
23,FeI,5294.55,3.64,13.2,7.51
24,FeI,5295.31,4.42,28.0,7.49
25,FeI,5365.4,3.57,77.0,7.32
26,FeI,5373.71,4.47,62.8,7.4
27,FeI,5379.57,3.69,60.3,7.51
28,FeI,5386.33,4.15,30.5,7.38
29,FeI,5389.48,4.42,80.0,7.27
30,FeI,5395.22,4.45,18.4,7.75
31,FeI,5398.28,4.45,70.2,7.37
32,FeI,5412.78,4.43,17.2,7.35
33,FeI,5417.03,4.42,32.1,7.57
34,FeI,5441.34,4.31,30.3,7.49
35,FeI,5461.55,4.45,24.5,7.64
36,FeI,5464.28,4.14,37.7,7.31
37,FeI,5470.09,4.45,25.2,7.57
38,FeI,5483.1,4.15,46.1,7.46
39,FeI,5487.15,4.42,35.6,7.5
40,FeI,5494.46,4.08,26.8,7.58
41,FeI,5522.45,4.21,42.4,7.48
42,FeI,5539.28,3.64,18.0,7.47
43,FeI,5543.94,4.22,62.8,7.47
44,FeI,5546.51,4.37,51.6,7.56
45,FeI,5560.21,4.43,51.3,7.47
46,FeI,5576.09,3.43,106.2,7.21
47,FeI,5587.57,4.14,38.2,7.68
48,FeI,5618.63,4.21,50.8,7.47
49,FeI,5619.6,4.39,34.6,7.61
50,FeI,5624.02,4.39,51.5,7.74
51,FeI,5633.95,4.99,66.0,7.45
52,FeI,5635.82,4.26,34.1,7.66
53,FeI,5636.7,3.64,20.1,7.48
54,FeI,5638.26,4.22,75.3,7.42
55,FeI,5641.43,4.26,63.4,7.55
56,FeI,5649.99,5.1,34.5,7.51
57,FeI,5651.47,4.47,17.5,7.57
58,FeI,5652.32,4.26,26.1,7.56
59,FeI,5653.87,4.39,38.3,7.62
60,FeI,5655.18,5.06,51.6,7.7
61,FeI,5661.35,4.28,21.3,7.36
62,FeI,5662.52,4.18,89.9,7.4
63,FeI,5679.02,4.65,58.6,7.52
64,FeI,5691.5,4.3,40.7,7.49
65,FeI,5696.09,4.55,11.7,7.24
66,FeI,5701.54,2.56,83.5,7.49
67,FeI,5705.46,4.3,38.6,7.38
68,FeI,5731.76,4.26,58.8,7.58
69,FeI,5732.3,4.99,15.3,7.55
70,FeI,5741.85,4.26,31.9,7.51
71,FeI,5760.34,3.64,22.8,7.43
72,FeI,5775.08,4.22,59.7,7.66
73,FeI,5778.45,2.59,22.0,7.42
74,FeI,5784.66,3.4,26.1,7.4
75,FeI,5849.68,3.69,8.6,7.45
76,FeI,5853.15,1.49,8.1,7.55
77,FeI,5855.08,4.61,22.7,7.41
78,FeI,5858.78,4.22,11.9,7.38
79,FeI,5883.82,3.96,65.2,7.42
80,FeI,5902.47,4.59,14.8,7.41
81,FeI,5905.67,4.65,59.3,7.4
82,FeI,5916.25,2.45,57.2,7.57
83,FeI,5927.79,4.65,42.8,7.41
84,FeI,5929.68,4.55,41.8,7.61
85,FeI,5930.18,4.65,85.8,7.35
86,FeI,5934.65,3.93,75.2,7.37
87,FeI,5956.69,0.86,55.6,7.59
88,FeI,6003.01,3.88,82.4,7.49
89,FeI,6012.21,2.22,23.9,7.71
90,FeI,6027.05,4.08,64.9,7.5
91,FeI,6065.48,2.61,113.9,7.29
92,FeI,6079.01,4.65,46.4,7.49
93,FeI,6082.71,2.22,35.6,7.52
94,FeI,6093.64,4.61,30.7,7.52
95,FeI,6094.37,4.65,19.9,7.73
96,FeI,6096.66,3.98,38.1,7.51
97,FeI,6127.91,4.14,49.7,7.57
98,FeI,6136.99,2.2,69.8,7.61
99,FeI,6151.62,2.18,50.9,7.54
100,FeI,6165.36,4.14,46.4,7.54
101,FeI,6173.33,2.22,69.3,7.56
102,FeI,6187.99,3.94,49.0,7.47
103,FeI,6200.31,2.61,75.1,7.57
104,FeI,6213.43,2.22,84.3,7.46
105,FeI,6219.28,2.2,90.3,7.51
106,FeI,6226.73,3.88,28.5,7.49
107,FeI,6229.23,2.85,38.2,7.41
108,FeI,6232.64,3.65,83.3,7.66
109,FeI,6240.65,2.22,49.6,7.45
110,FeI,6246.32,3.6,108.1,7.24
111,FeI,6252.56,2.4,115.9,7.37
112,FeI,6265.13,2.18,86.6,7.52
113,FeI,6270.22,2.86,53.9,7.49
114,FeI,6271.28,3.33,24.6,7.45
115,FeI,6297.79,2.22,77.4,7.54
116,FeI,6301.5,3.65,109.9,7.6
117,FeI,6315.81,4.08,43.2,7.53
118,FeI,6322.69,2.59,77.4,7.63
119,FeI,6330.85,4.73,33.2,7.92
120,FeI,6335.33,2.2,97.7,7.36
121,FeI,6336.82,3.69,100.9,7.27
122,FeI,6338.88,4.8,43.8,7.5
123,FeI,6364.36,4.8,28.3,7.56
124,FeI,6380.74,4.19,53.0,7.61
125,FeI,6393.6,2.43,125.8,7.27
126,FeI,6411.65,3.65,121.2,7.26
127,FeI,6430.85,2.18,109.5,7.31
128,FeI,6475.62,2.56,65.3,7.83
129,FeI,6481.87,2.28,65.2,7.59
130,FeI,6496.47,4.8,64.7,7.44
131,FeI,6498.94,0.96,47.8,7.61
132,FeI,6518.37,2.83,63.9,7.49
133,FeI,6533.93,4.56,38.5,7.57
134,FeI,6569.21,4.73,79.7,7.47
135,FeI,6574.23,0.99,28.2,7.53
136,FeI,6593.87,2.43,86.0,7.56
137,FeI,6597.56,4.8,46.4,7.56
138,FeI,6609.11,2.56,68.8,7.63
139,FeI,6627.54,4.55,28.2,7.57
140,FeI,6699.14,4.59,8.8,7.5
141,FeI,6703.57,2.76,38.9,7.57
142,FeI,6713.74,4.8,20.8,7.53
143,FeI,6733.15,4.64,27.6,7.54
144,FeI,6739.52,1.56,12.7,7.4
145,FeI,6750.15,2.42,76.0,7.56
146,FeI,6786.86,4.19,25.3,7.53
147,FeI,6806.84,2.73,35.3,6.52
148,FeI,6810.26,4.61,50.6,7.46
149,FeI,6820.37,4.64,41.6,7.55
150,FeII,4993.36,2.81,35.3,7.38
151,FeII,5414.07,3.22,24.7,7.37
152,FeII,5425.26,3.2,40.3,7.39
153,FeII,5991.38,3.15,31.0,7.53
154,FeII,6084.11,3.2,20.0,7.49
155,FeII,6149.26,3.89,35.3,7.53
156,FeII,6247.56,3.89,52.6,7.54
157,FeII,6432.68,2.89,41.0,7.43
158,FeII,6456.38,3.9,64.2,7.54
