,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,3898.01,FeI,1.01,-2.04,57.4,4.47
1,3917.18,FeI,0.99,-2.15,54.1,4.5
2,3920.26,FeI,0.12,-1.73,115.4,4.57
3,3922.91,FeI,0.05,-1.63,119.8,4.5
4,3948.1,FeI,3.24,-0.59,16.1,4.56
5,3977.74,FeI,2.2,-1.12,52.3,4.75
6,4009.71,FeI,2.22,-1.25,37.4,4.62
7,4021.87,FeI,2.67,-0.73,35.0,4.54
8,4067.98,FeI,3.21,-0.53,22.2,4.63
9,4076.63,FeI,3.21,-0.59,22.3,4.7
10,4154.5,FeI,2.83,-0.69,25.2,4.45
11,4156.8,FeI,2.83,-0.81,25.5,4.58
12,4195.33,FeI,3.33,-0.49,17.4,4.58
13,4202.03,FeI,1.48,-0.69,97.0,4.44
14,4216.18,FeI,0.0,-3.36,60.7,4.69
15,4222.21,FeI,2.45,-0.97,30.8,4.43
16,4271.15,FeI,2.45,-0.35,81.2,4.72
17,4375.93,FeI,0.0,-3.0,82.9,4.77
18,4427.31,FeI,0.05,-2.92,73.3,4.53
19,4430.61,FeI,2.22,-1.73,21.8,4.73
20,4447.72,FeI,2.22,-1.34,30.1,4.53
21,4461.65,FeI,0.09,-3.19,63.2,4.63
22,4489.74,FeI,0.12,-3.9,26.9,4.71
23,4602.94,FeI,1.48,-2.21,27.8,4.53
24,4707.27,FeI,3.24,-0.96,10.0,4.64
25,4733.59,FeI,1.48,-2.99,10.2,4.77
26,4736.77,FeI,3.21,-0.67,13.2,4.46
27,4871.32,FeI,2.87,-0.34,43.7,4.45
28,4872.14,FeI,2.88,-0.57,29.2,4.42
29,4890.76,FeI,2.88,-0.38,48.0,4.57
30,4903.31,FeI,2.88,-0.89,16.1,4.41
31,4918.99,FeI,2.86,-0.34,40.7,4.38
32,4920.5,FeI,2.83,0.07,66.7,4.38
33,4939.69,FeI,0.86,-3.25,19.1,4.65
34,4946.39,FeI,3.37,-1.11,3.8,4.47
35,4994.13,FeI,0.91,-2.97,23.0,4.53
36,5001.86,FeI,3.88,-0.01,11.4,4.43
37,5006.12,FeI,2.83,-0.61,34.8,4.51
38,5012.07,FeI,0.86,-2.6,53.7,4.68
39,5014.94,FeI,3.94,-0.18,8.9,4.54
40,5041.76,FeI,1.48,-2.2,26.5,4.46
41,5049.82,FeI,2.28,-1.35,31.5,4.59
42,5051.64,FeI,0.91,-2.76,41.1,4.67
43,5068.77,FeI,2.94,-1.04,13.2,4.52
44,5079.74,FeI,0.99,-3.25,13.2,4.6
45,5083.34,FeI,0.96,-2.84,28.2,4.56
46,5110.41,FeI,0.0,-3.76,42.8,4.69
47,5123.72,FeI,1.01,-3.06,20.7,4.66
48,5127.36,FeI,0.91,-3.25,20.5,4.73
49,5133.69,FeI,4.17,0.36,14.1,4.47
50,5142.93,FeI,0.96,-3.07,17.6,4.53
51,5151.91,FeI,1.01,-3.32,15.2,4.76
52,5162.27,FeI,4.18,0.02,10.0,4.65
53,5166.28,FeI,0.0,-4.12,24.0,4.68
54,5171.6,FeI,1.48,-1.72,51.8,4.44
55,5191.45,FeI,3.04,-0.55,24.6,4.46
56,5192.34,FeI,3.0,-0.42,38.9,4.57
57,5194.94,FeI,1.56,-2.02,32.0,4.47
58,5202.34,FeI,2.17,-1.87,17.6,4.65
59,5216.27,FeI,1.61,-2.08,26.2,4.46
60,5227.19,FeI,1.56,-1.23,86.9,4.69
61,5232.94,FeI,2.94,-0.06,53.7,4.39
62,5250.65,FeI,2.2,-2.18,8.6,4.64
63,5263.31,FeI,3.26,-0.87,9.4,4.52
64,5266.56,FeI,3.0,-0.39,32.1,4.41
65,5281.79,FeI,3.04,-0.83,13.7,4.42
66,5283.62,FeI,3.24,-0.45,26.1,4.6
67,5324.18,FeI,3.21,-0.11,37.2,4.45
68,5328.04,FeI,0.91,-1.47,106.1,4.63
69,5339.93,FeI,3.26,-0.63,12.9,4.43
70,5341.02,FeI,1.61,-1.95,38.9,4.58
71,5364.87,FeI,4.45,0.23,8.6,4.65
72,5369.96,FeI,4.37,0.54,19.3,4.66
73,5371.49,FeI,0.96,-1.64,97.2,4.66
74,5393.17,FeI,3.24,-0.72,13.2,4.51
75,5397.13,FeI,0.91,-1.98,84.4,4.66
76,5405.78,FeI,0.99,-1.85,88.9,4.71
77,5415.2,FeI,4.39,0.64,15.6,4.46
78,5424.07,FeI,4.32,0.52,18.8,4.61
79,5429.7,FeI,0.96,-1.88,85.3,4.63
80,5434.52,FeI,1.01,-2.13,70.6,4.64
81,5497.52,FeI,1.01,-2.83,30.1,4.62
82,5501.47,FeI,0.96,-3.05,23.6,4.64
83,5506.78,FeI,0.99,-2.79,32.5,4.61
84,5569.62,FeI,3.41,-0.52,14.6,4.54
85,5572.84,FeI,3.39,-0.28,21.2,4.47
86,5586.76,FeI,3.37,-0.11,28.3,4.44
87,5615.64,FeI,3.33,0.04,40.1,4.47
88,6065.48,FeI,2.61,-1.53,9.0,4.42
89,6191.56,FeI,2.43,-1.42,24.5,4.62
90,6230.72,FeI,2.56,-1.28,27.2,4.68
91,6393.6,FeI,2.43,-1.58,16.7,4.56
92,6430.85,FeI,2.17,-1.95,13.5,4.54
93,6494.98,FeI,2.4,-1.27,34.1,4.62
94,6546.24,FeI,2.76,-1.54,11.8,4.7
95,6592.91,FeI,2.73,-1.47,12.5,4.63
96,6677.99,FeI,2.69,-1.42,13.2,4.56
97,4491.41,FeII,2.85,-2.64,5.6,4.36
98,4508.29,FeII,2.86,-2.25,15.2,4.46
99,4515.34,FeII,2.84,-2.36,11.1,4.39
100,4520.22,FeII,2.81,-2.6,12.6,4.66
101,4522.63,FeII,2.84,-1.99,32.5,4.6
102,4555.89,FeII,2.83,-2.25,21.5,4.61
103,4583.84,FeII,2.81,-1.74,36.9,4.4
104,5018.44,FeII,2.89,-1.34,71.2,4.66
105,5169.03,FeII,2.89,-0.87,99.3,4.74
106,5234.63,FeII,3.22,-2.18,14.5,4.71
107,5276.0,FeII,3.2,-1.9,20.2,4.58
108,5316.62,FeII,3.15,-1.78,27.8,4.59
